"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Assay Type";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL1921647";"A";"Binding affinity to bovine serum albumin assessed as decrease in fluorescence intensity at 1.5 x 10'-5 mol/L at pH 7.4 by fluorescence spectroscopy in presence of K+ cations";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1914394";"21561769";"10.1016/j.bmcl.2011.04.026";"2011";"Bioorg. Med. Chem. Lett.";"21";"3798";"3804";"";"";"";"";"";""
"CHEMBL2172882";"A";"Binding affinity to bovine serum albumin random coil (1648 to 1641 cm'-1) at 0.5 mM after 2 hrs by FTIR spectroscopic analysis";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL2169873";"22197381";"10.1016/j.ejmech.2011.12.002";"2012";"Eur. J. Med. Chem.";"48";"114";"123";"";"";"";"";"";""
"CHEMBL2216933";"A";"Cytotoxicity against bovine BAEC cells at 30 uM after 3 days by coulter counter method";"Bos taurus";"16";"16";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"BAEC";"";"CHEMBL2216753";"23124213";"10.1016/j.ejmech.2012.10.001";"2012";"Eur. J. Med. Chem.";"58";"160";"170";"";"";"";"";"";""
"CHEMBL4146183";"A";"Binding affinity to bovine serum albumin at 10 uM after 24 hrs by equilibrium dialysis method";"Bos taurus";"5";"5";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4145453";"29275233";"10.1016/j.ejmech.2017.12.034";"2018";"Eur J Med Chem";"144";"349";"358";"";"";"";"";"";""
"CHEMBL2421233";"A";"Stability in bovine serum at 0.5 mg after 48 hrs by HPLC method";"Bos taurus";"1";"1";"BAO_0000366";"cell-free format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9913";"A";"CHEMBL3638229";"Serum";"";"";"CHEMBL2417433";"23845743";"10.1016/j.ejmech.2013.06.037";"2013";"Eur. J. Med. Chem.";"67";"75";"80";"";"";"";"";"";""
"CHEMBL2410958";"A";"Cytotoxicity against BAEC assessed as cell viability at 10 uM after 24 hrs by MTT assay";"Bos taurus";"9";"9";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"BAEC";"";"CHEMBL2406930";"23859213";"10.1021/jm400546y";"2013";"J. Med. Chem.";"56";"6136";"6145";"";"";"";"";"";""
"CHEMBL3743534";"A";"Half life of the compound in glycine buffer assessed as bovine intestinal mucosal alkaline phosphatase-mediated compound degradation at pH 9.8";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL3739335";"26596892";"10.1021/acs.jmedchem.5b01329";"2015";"J. Med. Chem.";"58";"9334";"9344";"";"";"";"";"";""
"CHEMBL1837809";"A";"Binding affinity to bovine serum albumin at pH 7.4 by fluorescence spectroscopy";"Bos taurus";"3";"3";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1833796";"21777996";"10.1016/j.ejmech.2011.07.005";"2011";"Eur. J. Med. Chem.";"46";"4344";"4353";"";"";"";"";"";""
"CHEMBL3998008";"A";"Binding affinity to bovine serum albumin by absorption spectroscopic method";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL3997763";"None";"10.1039/C6MD00283H";"2016";"MedChemComm";"7";"1858";"1869";"";"";"";"";"";""
"CHEMBL871505";"A";"Conversion of prodrug to parent drug NAP-TSAO-T catalyzed by bovin serum after 6 hrs";"Bos taurus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1146037";"16913724";"10.1021/jm0606490";"2006";"J. Med. Chem.";"49";"5339";"5351";"";"";"";"";"";""
"CHEMBL4231604";"A";"Binding affinity to bovine serum albumin in pH 7.4 phosphate buffer at 27 degC assessed as association constant by UV-vis spectroscopic analysis";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4229366";"29597169";"10.1016/j.ejmech.2018.03.042";"2018";"Eur J Med Chem";"150";"864";"875";"";"";"";"";"";""
"CHEMBL3773146";"A";"Binding affinity to bovine beta-lactoglobulin assessed as bimolecular quenching rate constant at 300 K after 10 mins by fluorescence assay";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL3769334";"26924214";"10.1016/j.bmc.2016.02.020";"2016";"Bioorg. Med. Chem.";"24";"1504";"1512";"";"";"";"";"";""
"CHEMBL3365507";"A";"Competitive binding affinity to bovine serum albumin site 1 assessed as quenching constant after 10 mins by fluorimetric titration method in presence of warfarin";"Bos taurus";"2";"2";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL3351529";"24953952";"10.1016/j.bmc.2014.05.069";"2014";"Bioorg. Med. Chem.";"22";"4018";"4027";"";"";"";"";"";""
"CHEMBL1837811";"A";"Effect on secondary structure of bovine serum albumin assessed as beta-sheet content at 0.5 uM at pH 7.4 by circular dichroism method (Rvb = 16 %)";"Bos taurus";"3";"3";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1833796";"21777996";"10.1016/j.ejmech.2011.07.005";"2011";"Eur. J. Med. Chem.";"46";"4344";"4353";"";"";"";"";"";""
"CHEMBL4431867";"A";"Toxicity in Holstein calf assessed as neurological signs at 10 mg/kg, po administered as single dose measured on day 4 to 5 post dose";"Bos taurus";"1";"1";"BAO_0000218";"organism-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"Holstein";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4431312";"27309760";"10.1021/acs.jmedchem.6b00760";"2016";"J Med Chem";"59";"6531";"6546";"";"";"";"";"";""
"CHEMBL3368949";"A";"Cytotoxicity against mock-infected MDBK cells after 48 to 96 hrs by MTT assay";"Bos taurus";"89";"89";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"MDBK";"";"CHEMBL3351523";"25082514";"10.1016/j.bmc.2014.06.043";"2014";"Bioorg. Med. Chem.";"22";"4893";"4909";"";"";"";"";"";""
"CHEMBL3538497";"A";"Cellular uptake in HEK293 cells assessed as bovine high affinity site of OATP1A2-mediated drug uptake at 0.01 to 50 uM after 1 min by Eadie-Hofstee plot analysis";"Bos taurus";"1";"2";"BAO_0000219";"cell-based format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"HEK293";"";"CHEMBL3525993";"23255551";"10.1124/dmd.112.047910";"2013";"Drug Metab. Dispos.";"41";"602";"607";"";"";"";"";"";""
"CHEMBL1043662";"A";"Cytotoxicity against MDBK cells after 48 hrs by MTT assay";"Bos taurus";"6";"6";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"MDBK";"";"CHEMBL1155975";"19679378";"10.1016/j.ejmech.2009.07.015";"2009";"Eur. J. Med. Chem.";"44";"4297";"4305";"";"";"";"";"";""
"CHEMBL639456";"A";"Delta Tm value ( Tmdrug-DNA )-TmDNA ) was obtained for the covalently cross-linked compound in the absence of formaldehyde using twice of poly(dA-dT) at 0.25 M";"Bos taurus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1133544";"11101362";"10.1021/jm0003438";"2000";"J. Med. Chem.";"43";"4711";"4720";"";"";"";"";"";""
"CHEMBL3541988";"A";"Cellular uptake in HEK293 cells assessed as bovine OATP1A2-mediated drug uptake at 5 uM up to 5 mins by liquid scintillation counting";"Bos taurus";"1";"1";"BAO_0000219";"cell-based format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"HEK293";"";"CHEMBL3525993";"23255551";"10.1124/dmd.112.047910";"2013";"Drug Metab. Dispos.";"41";"602";"607";"";"";"";"";"";""
"CHEMBL4154587";"A";"Drug degradation assessed as bovine pancreas chymotrypsin-mediated compound hydrolysis by measuring remaining compound levels at 10 mM measured at 0.5 hrs by RP-HPLC method";"Bos taurus";"2";"2";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4152250";"29738954";"10.1016/j.ejmech.2018.04.039";"2018";"Eur J Med Chem";"152";"358";"369";"";"";"";"";"";""
"CHEMBL905146";"A";"Cytotoxicity against BAEC after 2 days by MTT assay";"Bos taurus";"32";"32";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"BAEC";"";"CHEMBL1143700";"17507232";"10.1016/j.bmc.2007.05.011";"2007";"Bioorg. Med. Chem.";"15";"5300";"5315";"";"";"";"";"";""
"CHEMBL3074879";"A";"Cytotoxicity against Bos taurus (bovine) MDBK cells assessed as inhibition of cell viability after 48 to 120 hr by MTT assay";"Bos taurus";"22";"22";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"MDBK";"";"CHEMBL3046811";"None";"10.1007/s00044-012-0342-1";"2013";"Med Chem Res";"22";"3675";"3686";"";"";"";"";"";""
"CHEMBL3130046";"A";"Antiproliferative activity against BAEC assessed as DNA synthesis level after 24 hrs by thymidine incorporation assay";"Bos taurus";"9";"9";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"BAEC";"";"CHEMBL3124904";"24359706";"10.1016/j.bmc.2013.11.046";"2014";"Bioorg. Med. Chem.";"22";"116";"125";"";"";"";"";"";""
"CHEMBL1019910";"A";"Cytotoxicity against bovine endothelial cells at 50 uM";"Bos taurus";"1";"1";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"Endothelial cell";"";"CHEMBL1159304";"11809063";"10.1021/np0103012";"2002";"J. Nat. Prod.";"65";"48";"50";"";"";"";"";"";""
"CHEMBL3232350";"A";"Stability of the compound assessed as beef pancreas alpha-chymotrypsin-mediated drug degradation up to 3 hrs by TLC analysis";"Bos taurus";"3";"3";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL3228003";"490561";"10.1021/jm00195a025";"1979";"J. Med. Chem.";"22";"1128";"1130";"";"";"";"";"";""
"CHEMBL4135017";"A";"Cytotoxicity against bovine MDBK cells assessed as decrease in cell viability after 72 hrs by MTT assay";"Bos taurus";"31";"31";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4130485";"29028528";"10.1016/j.ejmech.2017.09.060";"2017";"Eur J Med Chem";"141";"15";"25";"";"";"";"";"";""
"CHEMBL1640599";"A";"Half life in bovine plasma by HPLC";"Bos taurus";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9913";"A";"CHEMBL3559721";"Plasma";"";"";"CHEMBL1629440";"21075638";"10.1016/j.bmc.2010.10.011";"2010";"Bioorg. Med. Chem.";"18";"8600";"8613";"";"";"";"";"";""
"CHEMBL4006589";"A";"Binding affinity to Bovine serum albumin assessed as at 0.10 to 1 uM by UV-Visible spectrophotometric method";"Bos taurus";"2";"2";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4004838";"28171832";"10.1016/j.ejmech.2017.01.014";"2017";"Eur J Med Chem";"128";"123";"139";"";"";"";"";"";""
"CHEMBL3812997";"A";"Binding affinity to bovine serum albumin assessed as enhancement in emission spectra up to 20 uM by fluorescence spectroscopic analysis relative to control";"Bos taurus";"13";"13";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL3808334";"27089212";"10.1016/j.ejmech.2016.03.088";"2016";"Eur. J. Med. Chem.";"117";"59";"69";"";"";"";"";"";""
"CHEMBL1921505";"A";"Binding affinity to bovine serum albumin assessed as decrease in fluorescence intensity at 1.5 x 10'-5 mol/L at pH 7.4 by fluorescence spectroscopy in presence of Ni2+ cations";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1914394";"21561769";"10.1016/j.bmcl.2011.04.026";"2011";"Bioorg. Med. Chem. Lett.";"21";"3798";"3804";"";"";"";"";"";""
"CHEMBL3608042";"A";"Stability of the compound in 10% fetal bovine serum at 50 uM up to 240 mins by RP-HPLC analysis";"Bos taurus";"5";"5";"BAO_0000366";"cell-free format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9913";"A";"CHEMBL3638229";"Serum";"";"";"CHEMBL3603763";"26264844";"10.1016/j.bmc.2015.07.052";"2015";"Bioorg. Med. Chem.";"23";"5369";"5381";"";"";"";"";"";""
"CHEMBL3538508";"A";"Cellular uptake in HEK293 cells assessed as bovine OATP1A2-mediated drug uptake at 50 uM in presence of taurocholate";"Bos taurus";"1";"1";"BAO_0000219";"cell-based format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"HEK293";"";"CHEMBL3525993";"23255551";"10.1124/dmd.112.047910";"2013";"Drug Metab. Dispos.";"41";"602";"607";"";"";"";"";"";""
"CHEMBL1921500";"A";"Binding affinity to bovine serum albumin assessed as decrease in fluorescence intensity at 10'-5 mol/L at pH 7.4 at 298K by fluorescence spectroscopy in presence of warfarin";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1914394";"21561769";"10.1016/j.bmcl.2011.04.026";"2011";"Bioorg. Med. Chem. Lett.";"21";"3798";"3804";"";"";"";"";"";""
"CHEMBL1921646";"A";"Binding affinity to bovine serum albumin assessed as decrease in fluorescence intensity at 1.5 x 10'-5 mol/L at pH 7.4 by fluorescence spectroscopy in presence of Mn2+ cations";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1914394";"21561769";"10.1016/j.bmcl.2011.04.026";"2011";"Bioorg. Med. Chem. Lett.";"21";"3798";"3804";"";"";"";"";"";""
"CHEMBL4426628";"A";"Binding affinity to bovine serum albumin at 810 nM measured up to 160 sec";"Bos taurus";"3";"6";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4425127";"27341624";"10.1021/acs.jmedchem.6b00537";"2016";"J Med Chem";"59";"6303";"6312";"";"";"";"";"";""
"CHEMBL639455";"A";"Delta Tm value ( Tmdrug-DNA )-TmDNA ) was obtained for the covalently cross-linked compound in the absence of formaldehyde using twice of poly(dA-dT) at 0.1 M";"Bos taurus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1133544";"11101362";"10.1021/jm0003438";"2000";"J. Med. Chem.";"43";"4711";"4720";"";"";"";"";"";""
"CHEMBL3773302";"A";"Binding affinity to bovine beta-lactoglobulin at 310 K after 10 mins by fluorescence assay";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL3769334";"26924214";"10.1016/j.bmc.2016.02.020";"2016";"Bioorg. Med. Chem.";"24";"1504";"1512";"";"";"";"";"";""
"CHEMBL4416263";"A";"Binding affinity to bovine serum albumin at pH 7.4 TRIS buffer at 1:1 ratio of compound to protein by fluorescence based assay";"Bos taurus";"2";"4";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4414603";"31577143";"10.1021/acs.jmedchem.9b01254";"2019";"J Med Chem";"62";"9990";"9995";"";"";"";"";"";""
"CHEMBL4180789";"A";"Binding affinity to calf thymus duplex DNA assessed as change in the intensities of negative band formation at 280 nm up to 10 uM in presence of K+ by CD spectroscopic method";"Bos taurus";"1";"1";"BAO_0000225";"nucleic acid format";"3";"3 - Target assigned is molecular non-protein target";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4177642";"29089258";"10.1016/j.bmc.2017.10.014";"2017";"Bioorg Med Chem";"25";"6404";"6411";"";"";"";"";"";""
"CHEMBL3538502";"A";"Cellular uptake in HEK293 cells assessed as bovine high affinity site of OATP1A2-mediated drug uptake at 50 nM at pH 7.4 after 1 min";"Bos taurus";"1";"1";"BAO_0000219";"cell-based format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"HEK293";"";"CHEMBL3525993";"23255551";"10.1124/dmd.112.047910";"2013";"Drug Metab. Dispos.";"41";"602";"607";"";"";"";"";"";""
"CHEMBL3282678";"A";"Binding affinity to bovine serum albumin after overnight incubation by equilibrium dialysis";"Bos taurus";"12";"12";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL3272310";"950657";"10.1021/jm00228a025";"1976";"J. Med. Chem.";"19";"849";"850";"";"";"";"";"";""
"CHEMBL3365504";"A";"Binding affinity to bovine serum albumin after 10 mins by fluorimetric titration method";"Bos taurus";"2";"4";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL3351529";"24953952";"10.1016/j.bmc.2014.05.069";"2014";"Bioorg. Med. Chem.";"22";"4018";"4027";"";"";"";"";"";""
"CHEMBL1921653";"A";"Binding affinity to bovine serum albumin assessed as quenching constant at pH 7.4 at 293K by UV-vis absorption spectra analysis";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1914394";"21561769";"10.1016/j.bmcl.2011.04.026";"2011";"Bioorg. Med. Chem. Lett.";"21";"3798";"3804";"";"";"";"";"";""
"CHEMBL3538500";"A";"Cellular uptake in HEK293 cells assessed as bovine high affinity site of OATP1A2-mediated drug uptake at 0.5 to 100 uM after 1 min by Eadie-Hofstee plot analysis";"Bos taurus";"1";"2";"BAO_0000219";"cell-based format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"HEK293";"";"CHEMBL3525993";"23255551";"10.1124/dmd.112.047910";"2013";"Drug Metab. Dispos.";"41";"602";"607";"";"";"";"";"";""
"CHEMBL3390458";"A";"Half life in RPMI-1640 medium containing 10% fetal calf serum assessed as compound disappearance by HPLC-DAD-ESI-MS method";"Bos taurus";"5";"5";"BAO_0000019";"assay format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9913";"A";"CHEMBL3638229";"Serum";"";"";"CHEMBL3351354";"25304896";"10.1016/j.bmcl.2014.09.046";"2014";"Bioorg. Med. Chem. Lett.";"24";"5304";"5309";"";"";"";"";"";""
"CHEMBL4430903";"A";"Stability in bovine liver microsomes assessed as drug recovery at 25 uM after 30 mins in presence of beta-NADPH by HPLC analysis";"Bos taurus";"9";"9";"BAO_0000251";"microsome format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"CHEMBL3559723";"Liver";"";"Microsome";"CHEMBL4428118";"27624526";"10.1016/j.bmc.2016.08.039";"2016";"Bioorg Med Chem";"24";"5206";"5220";"";"";"";"";"";""
"CHEMBL1019911";"A";"Cytotoxicity against bovine endothelial cells at 12.5 uM";"Bos taurus";"1";"1";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"Endothelial cell";"";"CHEMBL1159304";"11809063";"10.1021/np0103012";"2002";"J. Nat. Prod.";"65";"48";"50";"";"";"";"";"";""
"CHEMBL3813001";"A";"Binding affinity to bovine serum albumin assessed as change in hyperchromicity in absorption spectra up to 20 uM after 5 mins by UV-visible spectroscopic analysis relative to control";"Bos taurus";"4";"4";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL3808334";"27089212";"10.1016/j.ejmech.2016.03.088";"2016";"Eur. J. Med. Chem.";"117";"59";"69";"";"";"";"";"";""
"CHEMBL4324843";"A";"Substrate activity at bovine plasma SSAO at 5 mM relative to spermine";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4321859";"31765147";"10.1021/acs.jmedchem.9b01666";"2019";"J Med Chem";"62";"11335";"11347";"";"";"";"";"";""
"CHEMBL4006590";"A";"Binding affinity to Bovine serum albumin assessed as fluorescence quenching at 0.1 to 1 uM at 280 nM by fluorescence spectroscopic assay";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4004838";"28171832";"10.1016/j.ejmech.2017.01.014";"2017";"Eur J Med Chem";"128";"123";"139";"";"";"";"";"";""
"CHEMBL4431866";"A";"Toxicity in Holstein calf assessed as defect in ambulatory, alert and responsiveness with normal appetite at 9.3 mg/kg, po administered as single dose measured on day 10 to 14 post dose";"Bos taurus";"1";"1";"BAO_0000218";"organism-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"Holstein";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4431312";"27309760";"10.1021/acs.jmedchem.6b00760";"2016";"J Med Chem";"59";"6531";"6546";"";"";"";"";"";""
"CHEMBL4431828";"A";"AUC in Holstein calf at 10 mg/kg, po after 0.5 to 288 hrs by LC/MS analysis";"Bos taurus";"1";"1";"BAO_0000218";"organism-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"Holstein";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4431312";"27309760";"10.1021/acs.jmedchem.6b00760";"2016";"J Med Chem";"59";"6531";"6546";"";"";"";"";"";""
"CHEMBL3592738";"A";"Binding affinity to bovine serum albumin";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL3588828";"26196061";"10.1021/acs.jmedchem.5b00411";"2015";"J. Med. Chem.";"58";"6306";"6312";"";"";"";"";"";""
"CHEMBL4055609";"A";"Cytotoxicity against bovine MDBK cells assessed as reduction in cell viability after 3 days by MTS/PES assay";"Bos taurus";"18";"18";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"MDBK";"";"CHEMBL4052663";"28600079";"10.1016/j.bmc.2017.05.056";"2017";"Bioorg Med Chem";"25";"4055";"4063";"";"";"";"";"";""
"CHEMBL4411047";"A";"Stability in fetal bovine serum assessed as drug degradation measured for 4 hrs by RP-HPLC analysis";"Bos taurus";"1";"1";"BAO_0000366";"cell-free format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"CHEMBL3638229";"Serum";"";"";"CHEMBL4406918";"31857837";"10.1021/acsmedchemlett.9b00339";"2019";"ACS Med Chem Lett";"10";"1620";"1627";"";"";"";"";"";""
"CHEMBL1007073";"A";"Cytotoxicity against MDBK cells after 3 days by MTS/PMS method";"Bos taurus";"6";"6";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"MDBK";"";"CHEMBL1138495";"19388645";"10.1021/jm801608u";"2009";"J. Med. Chem.";"52";"3354";"3365";"";"";"";"";"";""
"CHEMBL3538511";"A";"Cellular uptake in HEK293 cells assessed as bovine OATP1A2-mediated drug uptake at 50 uM in presence of methotrexate";"Bos taurus";"1";"1";"BAO_0000219";"cell-based format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"HEK293";"";"CHEMBL3525993";"23255551";"10.1124/dmd.112.047910";"2013";"Drug Metab. Dispos.";"41";"602";"607";"";"";"";"";"";""
"CHEMBL4408427";"A";"Binding affinity to bovine serum albumin assessed as hypsochromic shift at 5 to 40 uM by fluorescence emission spectrum analysis method";"Bos taurus";"12";"12";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4406827";"31421632";"10.1016/j.ejmech.2019.111592";"2019";"Eur J Med Chem";"182";"111592";"111592";"";"";"";"";"";""
"CHEMBL1921656";"A";"Binding affinity to bovine serum albumin assessed as decrease in fluorescence intensity at 1.5 x 10'-5 mol/L at pH 7.4 by fluorescence spectroscopy in presence of tyrosine";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1914394";"21561769";"10.1016/j.bmcl.2011.04.026";"2011";"Bioorg. Med. Chem. Lett.";"21";"3798";"3804";"";"";"";"";"";""
"CHEMBL2172881";"A";"Binding affinity to bovine serum albumin beta-sheet (1640 to 1610 cm'-1) at 0.5 mM after 2 hrs by FTIR spectroscopic analysis";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL2169873";"22197381";"10.1016/j.ejmech.2011.12.002";"2012";"Eur. J. Med. Chem.";"48";"114";"123";"";"";"";"";"";""
"CHEMBL3056422";"A";"Binding affinity to Bos taurus (bovine) serum albumin assessed as decrease in fluorescence at 1:25 protein:compound ratio after 5 min by fluorimetric analysis";"Bos taurus";"5";"5";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL3044606";"None";"10.1007/s00044-009-9270-0";"2010";"Med Chem Res";"19";"1287";"1295";"";"";"";"";"";""
